Index,DataA,DataB
0,89.8,52.5
1,70.1,52.7
2,116.6,47.8
3,104.1,52.8
4,103.1,57.0
5,94.0,46.5
6,85.5,40.4
7,86.9,51.8
8,104.4,58.4
9,87.2,45.6
10,88.6,50.2
11,97.4,44.9
12,86.2,52.3
13,101.5,47.5
14,103.7,45.0
15,89.1,50.0
16,105.4,55.4
17,104.3,49.2
18,99.6,52.2
19,100.0,47.8
20,92.7,49.2
21,82.4,54.3
22,116.3,45.2
23,105.1,51.4
24,112.1,39.0
25,109.4,49.0
26,85.7,47.2
27,101.7,52.0
28,110.0,50.2
29,111.4,50.0
30,105.1,50.2
31,110.1,40.6
32,98.5,61.7
33,98.4,55.6
34,107.4,50.7
35,82.5,44.5
36,102.2,48.5
37,95.5,49.2
38,98.9,46.1
39,97.7,55.2
40,100.3,49.8
41,95.3,47.6
42,107.0,47.1
43,92.5,51.3
44,105.1,50.8
45,91.9,46.4
46,98.4,59.9
47,93.0,45.0
48,99.2,54.0
49,107.8,47.1
50,95.2,57.8
51,97.0,47.3
52,85.7,47.9
53,91.0,53.1
54,104.5,54.6
55,93.0,54.7
56,72.5,49.4
57,111.8,51.1
58,93.2,51.7
59,100.2,59.7
60,83.0,51.6
61,95.2,55.6
62,95.5,54.8
63,91.2,54.6
64,109.0,52.2
65,81.0,59.9
66,107.8,48.2
67,100.8,51.2
68,97.0,48.2
69,92.0,41.6
70,105.8,56.0
71,96.7,53.0
72,96.1,48.4
73,124.7,58.5
74,117.6,48.7
75,105.3,54.3
76,108.5,51.2
77,86.8,57.4
78,110.2,50.5
79,109.2,53.3
80,96.4,51.8
81,99.0,43.7
82,96.9,51.1
83,92.0,58.5
84,112.3,48.3
85,102.5,56.1
86,109.8,50.7
87,107.2,52.4
88,107.0,51.7
89,114.5,43.2
90,108.3,39.6
91,105.1,57.4
92,99.0,50.1
93,92.0,49.0
94,103.6,50.5
95,93.2,57.4
96,99.3,45.1
97,95.0,43.3
98,111.0,47.2
99,107.6,51.9
100,121.0,57.5
101,84.6,45.1
102,88.0,44.2
103,92.8,52.2
104,102.3,52.4
105,93.7,52.3
106,95.7,46.7
107,79.8,46.2
108,115.0,54.0
109,111.0,51.0
110,80.7,53.9
111,90.6,43.2
112,109.0,46.7
113,100.0,50.0
114,106.2,43.4
115,91.2,50.6
116,109.8,58.2
117,109.1,49.2
118,113.1,46.2
119,103.8,58.3
120,103.0,37.9
121,99.3,51.1
122,101.7,48.0
123,107.4,48.0
124,94.2,48.4
125,85.2,47.1
126,114.0,55.6
127,106.1,51.5
128,102.5,44.6
129,100.3,50.8
130,80.6,51.6
131,95.3,42.2
132,98.8,48.0
133,110.6,55.7
134,100.4,44.0
135,110.8,48.0
136,94.3,53.2
137,88.9,56.9
138,88.7,61.3
139,106.8,55.8
140,94.0,46.8
141,119.1,50.6
142,90.2,32.1
143,91.6,50.0
144,106.5,48.9
145,113.7,52.1
146,83.8,54.2
147,90.9,46.8
148,103.4,48.9
149,102.9,41.1
150,123.2,55.3
151,105.7,55.3
152,108.0,60.8
153,95.1,52.3
154,96.5,52.7
155,82.8,51.6
156,100.7,51.3
157,112.4,42.0
158,112.7,54.7
159,96.7,59.2
160,94.8,52.0
161,105.4,46.5
162,92.3,52.2
163,106.7,53.2
164,106.3,49.5
165,94.8,44.9
166,97.4,48.4
167,97.1,45.7
168,98.7,50.7
169,103.4,45.5
170,113.2,49.6
171,90.5,56.9
172,100.2,48.2
173,86.8,44.5
174,100.6,45.9
175,111.0,46.0
176,107.9,43.0
177,82.6,45.9
178,85.0,48.8
179,111.9,60.8
180,94.1,45.9
181,101.9,54.6
182,86.6,45.1
183,99.0,50.8
184,84.3,52.3
185,85.3,46.2
186,106.0,54.9
187,124.2,53.4
188,110.1,56.0
189,104.1,55.0
190,84.9,49.8
191,93.6,49.7
192,86.8,48.0
193,102.0,45.9
194,107.2,53.9
195,86.4,49.5
196,122.0,52.0
197,86.5,58.2
198,89.6,52.5
199,101.7,49.6
200,86.7,53.1
201,103.4,48.5
202,105.5,52.6
203,93.8,51.8
204,108.9,53.6
205,99.8,49.1
206,93.0,56.2
207,106.5,49.0
208,75.5,39.0
209,100.9,50.6
210,98.7,47.8
211,109.5,47.0
212,98.2,58.1
213,96.8,50.6
214,88.2,52.0
215,111.0,53.1
216,102.0,47.3
217,105.9,49.9
218,89.3,47.1
219,97.6,54.5
220,94.2,59.6
221,96.0,48.0
222,95.1,56.7
223,97.1,50.9
224,109.5,53.1
225,118.3,50.6
226,109.5,52.5
227,109.3,52.1
228,93.7,43.2
229,80.9,48.6
230,115.4,56.6
231,104.9,52.6
232,78.4,46.3
233,96.0,45.4
234,83.3,49.1
235,92.3,39.2
236,92.2,47.2
237,95.1,49.0
238,100.7,46.9
239,87.7,57.0
240,87.6,63.2
241,88.5,42.0
242,94.7,55.8
243,105.7,50.9
244,95.8,46.7
245,104.5,52.8
246,101.9,48.8
247,96.5,57.1
248,96.9,48.1
249,89.4,52.5
250,98.8,48.5
251,106.1,41.3
252,105.7,47.3
253,95.2,54.9
254,89.0,55.0
255,101.2,51.6
256,98.1,48.7
257,80.6,49.6
258,100.5,58.2
259,113.4,52.7
260,102.8,49.3
261,102.9,48.5
262,96.9,48.9
263,87.5,52.9
264,88.1,65.6
265,105.4,50.7
266,104.5,53.9
267,104.4,51.4
268,90.3,61.2
269,89.5,49.9
270,117.1,50.9
271,101.2,52.3
272,97.5,54.8
273,96.0,51.9
274,109.4,51.6
275,118.2,44.6
276,94.3,51.3
277,107.0,46.7
278,99.2,46.7
279,102.0,51.3
280,88.3,50.4
281,101.2,59.5
282,85.3,58.1
283,112.9,46.1
284,100.5,55.4
285,69.8,50.1
286,103.4,44.2
287,78.8,49.7
288,75.5,46.4
289,93.5,42.2
290,92.9,59.4
291,110.3,55.2
292,112.9,48.7
293,88.1,47.1
294,97.7,51.7
295,86.1,48.1
296,107.6,49.1
297,86.7,49.1
298,102.4,51.5
