Index,DataA,DataB
0,794.5,396.7
1,778.5,395.3
2,785.1,408.2
3,776.5,394.1
4,802.7,429.8
5,840.0,392.0
6,758.9,362.0
7,792.8,448.8
8,718.9,390.4
9,816.2,443.6
10,831.3,390.4
11,811.3,403.8
12,739.8,426.2
13,779.2,377.0
14,838.6,345.4
15,815.9,387.5
16,779.8,358.9
17,773.3,358.3
18,829.8,402.6
19,806.3,397.8
20,772.7,425.8
21,813.5,444.7
22,824.3,443.5
23,806.3,446.0
24,804.0,488.4
25,847.5,419.3
26,787.1,405.8
27,817.3,439.1
28,771.6,387.6
29,786.4,405.9
30,787.9,425.3
31,831.8,410.3
32,804.0,441.2
33,805.3,369.2
34,776.2,425.8
35,798.1,424.4
36,770.6,369.1
37,848.5,409.3
38,822.1,360.8
39,796.8,348.2
40,848.1,417.7
41,779.2,388.1
42,827.6,417.5
43,819.8,438.5
44,831.1,351.6
45,848.6,385.0
46,744.1,381.6
47,746.5,438.7
48,786.9,372.5
49,792.1,390.3
50,733.8,404.7
51,817.3,386.9
52,778.3,343.1
53,807.5,409.5
54,831.4,419.8
55,843.1,395.6
56,773.7,415.1
57,809.6,394.2
58,806.4,417.9
59,827.2,425.5
60,841.0,406.2
61,792.1,419.4
62,825.7,407.8
63,825.3,391.9
64,835.1,398.8
65,807.7,415.6
66,784.4,350.9
67,802.8,391.6
68,783.2,363.9
69,783.1,400.8
70,820.9,382.6
71,833.8,396.6
72,851.6,441.9
73,834.6,407.2
74,810.1,374.9
75,822.5,407.4
76,792.9,378.9
77,825.7,401.7
78,798.2,432.8
79,785.7,400.0
80,748.9,416.5
81,789.8,392.1
82,794.6,398.3
83,781.6,401.3
84,835.5,396.2
85,834.6,394.4
86,765.4,397.7
87,795.3,415.1
88,806.7,370.1
89,836.7,390.9
90,761.0,431.2
91,803.8,412.2
92,786.8,387.4
93,790.1,458.2
94,805.6,383.4
95,824.4,381.0
96,754.4,383.9
97,798.7,390.8
98,781.7,390.9
99,828.2,409.1
100,798.7,397.8
101,806.2,376.9
102,809.4,418.5
103,828.2,408.5
104,775.1,380.7
105,787.5,414.1
106,821.2,394.4
107,793.3,412.7
108,773.5,405.5
109,760.1,416.6
110,809.3,400.9
111,835.0,440.8
112,799.0,375.4
113,748.8,406.6
114,772.0,423.8
115,805.8,427.0
116,792.9,401.1
117,795.3,382.7
118,752.1,381.5
119,841.7,414.1
120,804.9,374.9
121,860.1,393.6
122,797.9,387.7
123,768.2,372.5
124,836.0,347.3
125,797.3,415.5
126,801.5,410.3
127,778.1,412.5
128,843.1,392.4
129,798.6,433.5
130,772.6,380.9
131,738.1,391.3
132,837.5,390.8
133,814.5,341.9
134,796.3,405.1
135,800.0,392.4
136,803.4,407.0
137,809.0,403.9
138,763.9,391.8
139,746.8,413.9
140,775.6,408.2
141,761.9,395.8
142,830.1,382.6
143,818.4,400.3
144,794.7,404.2
145,855.8,372.0
146,787.5,355.1
147,854.8,385.5
148,788.6,427.1
149,808.3,371.4
150,842.3,400.7
151,830.0,366.5
152,779.7,418.5
153,786.0,388.5
154,732.3,380.7
155,794.0,406.9
156,800.8,409.3
157,823.8,342.7
158,788.9,394.2
159,766.0,370.6
160,819.2,403.5
161,783.7,398.4
162,797.1,403.1
163,744.4,394.7
164,757.9,401.5
165,823.4,440.2
166,794.9,388.6
167,815.5,406.0
168,840.5,420.8
169,742.0,413.7
170,812.0,427.1
171,783.7,405.7
172,788.7,387.8
173,798.5,394.7
174,759.4,398.1
175,803.9,409.0
176,763.5,388.9
177,831.2,357.5
178,832.0,399.4
179,825.7,377.0
180,855.4,396.6
181,762.0,382.7
182,783.6,418.4
183,821.4,385.9
184,749.0,431.5
185,767.7,398.0
186,779.1,371.0
187,779.7,382.2
188,837.4,412.6
189,823.2,413.4
190,784.5,408.3
191,793.0,402.4
192,763.6,377.5
193,824.4,446.1
194,791.7,368.0
195,783.3,413.2
196,755.5,410.3
197,819.0,391.3
198,812.3,371.0
199,770.1,410.4
200,839.9,390.7
201,745.3,371.3
202,814.4,405.2
203,763.2,388.6
204,835.7,425.7
205,788.0,404.1
206,820.5,374.1
207,733.7,410.0
208,794.3,375.9
209,763.7,388.7
210,838.3,424.5
211,826.5,388.6
212,851.8,373.3
213,795.4,400.8
214,830.0,396.9
215,839.6,399.7
216,725.3,399.2
217,800.4,449.1
218,786.4,413.9
219,856.5,359.4
220,825.8,388.9
221,794.6,336.7
222,825.7,429.6
223,808.1,439.6
224,828.0,322.4
225,827.1,421.8
226,799.2,406.1
227,797.0,403.1
228,832.8,395.8
229,804.5,419.4
230,760.4,439.1
231,775.2,403.0
232,807.3,429.0
233,754.6,400.9
234,836.3,373.9
235,736.9,417.3
236,831.2,392.0
237,818.8,440.5
238,811.7,451.8
239,785.0,423.2
240,805.6,396.4
241,788.7,417.9
242,827.9,370.0
243,829.9,409.8
244,769.1,443.7
245,758.0,389.8
246,766.0,426.9
247,850.3,423.1
248,779.5,391.9
249,794.3,384.1
250,773.4,409.9
251,803.4,407.9
252,798.8,392.8
253,781.6,410.8
254,820.9,443.8
255,819.7,359.3
256,803.4,394.8
257,823.1,408.4
258,789.4,399.8
259,789.6,391.1
260,764.8,424.6
261,785.5,396.3
262,781.5,383.0
263,818.6,432.4
264,841.3,386.8
265,817.5,376.6
266,766.0,400.7
267,783.0,394.9
268,793.7,433.8
269,785.5,388.6
270,823.1,412.1
271,822.7,415.8
272,813.6,372.1
273,737.6,432.3
274,814.2,412.8
275,858.6,419.7
276,753.7,420.4
277,796.7,376.6
278,820.4,369.9
279,733.1,383.2
280,850.0,371.3
281,820.3,417.4
282,805.5,390.7
283,790.9,435.4
284,848.3,383.8
285,790.3,379.9
286,771.3,384.0
287,824.2,388.5
288,773.2,452.2
289,805.9,393.9
290,808.3,396.4
291,806.6,382.5
292,799.9,401.3
293,778.8,427.8
294,779.1,412.5
295,841.0,381.6
296,808.1,353.7
297,758.5,391.7
298,780.3,370.3
299,770.4,387.4
300,815.8,445.3
301,764.1,368.0
302,773.5,386.1
303,800.4,390.6
304,755.2,437.5
305,799.0,380.6
306,775.5,336.2
307,768.7,400.9
308,749.8,440.8
309,819.0,376.4
310,824.1,450.1
311,778.7,367.9
312,780.3,377.8
313,754.1,387.5
314,787.0,433.6
315,810.6,404.4
316,809.1,410.3
317,803.1,397.3
318,824.0,388.0
319,834.6,422.5
320,815.0,350.5
321,801.6,410.1
322,792.7,406.6
323,849.6,424.6
324,840.7,389.2
325,743.0,386.8
326,792.5,404.3
327,804.0,365.6
328,833.1,417.8
329,795.2,326.6
330,785.6,418.1
331,753.4,389.9
332,832.8,379.4
333,820.4,403.1
334,804.6,394.3
335,736.4,422.0
336,779.4,399.1
337,823.3,406.0
338,783.5,364.3
339,806.0,394.4
340,817.5,363.4
341,763.2,411.5
342,826.8,392.3
343,758.4,395.1
344,802.8,425.8
345,781.9,412.0
346,779.9,408.2
347,813.1,403.4
348,834.8,364.1
349,818.2,365.2
350,831.8,407.6
351,828.0,415.0
352,826.9,438.8
353,775.1,370.6
354,759.1,419.9
355,820.4,362.9
356,791.3,379.4
357,834.1,430.3
358,773.5,453.6
359,810.7,440.0
360,788.5,403.0
361,791.3,374.1
362,790.6,433.9
363,812.7,429.2
364,851.1,375.6
365,835.7,399.5
366,805.8,384.1
367,795.7,416.8
368,810.9,366.0
369,743.3,381.1
370,784.5,413.2
371,793.2,399.7
372,808.7,387.6
373,820.4,374.2
374,811.3,386.2
375,714.7,374.9
376,808.7,370.0
377,823.8,374.6
378,769.6,376.2
379,795.3,392.8
380,803.0,375.2
381,820.2,387.3
382,789.1,362.5
383,821.4,402.9
384,788.1,378.5
385,768.0,411.1
386,827.7,405.4
387,876.3,419.3
388,815.9,361.6
389,841.9,420.3
390,774.1,395.3
391,793.4,440.7
392,833.0,391.5
393,775.6,395.2
394,769.4,428.8
395,794.3,382.0
396,800.3,442.5
397,868.5,348.5
398,802.8,392.5
399,797.5,426.5
400,779.4,390.1
401,809.8,379.4
402,785.8,380.1
403,786.2,428.9
404,760.1,388.9
405,818.9,404.8
406,846.0,402.1
407,844.7,365.9
408,837.3,433.6
409,783.5,396.2
410,789.9,403.3
411,803.7,386.0
412,797.9,380.2
413,806.1,431.3
414,768.4,448.2
415,810.4,399.5
416,889.7,368.5
417,820.5,418.4
418,768.4,435.9
419,833.0,392.8
420,814.4,388.5
421,810.5,396.2
422,742.0,432.2
423,812.1,440.5
424,804.5,451.5
425,848.4,449.1
426,754.3,414.0
427,793.5,392.2
428,777.2,398.8
429,808.1,436.0
430,813.0,393.6
431,841.4,399.3
432,780.7,390.7
433,776.3,392.3
434,793.8,408.3
435,869.3,444.0
436,795.6,370.0
437,819.6,390.7
438,883.8,404.1
439,805.4,406.8
440,806.8,393.7
441,777.6,423.9
442,802.9,390.8
443,808.6,393.5
444,781.2,435.6
445,797.7,406.3
446,835.2,452.8
447,847.4,381.1
448,851.8,372.0
449,786.8,374.8
450,775.0,425.7
451,846.1,379.8
452,809.7,426.4
453,764.2,350.7
454,847.8,398.9
455,803.4,415.1
456,809.7,420.4
457,803.4,388.7
458,804.9,404.1
459,836.2,412.2
460,784.9,403.9
461,720.4,449.5
462,871.5,355.2
463,756.8,397.5
464,859.0,404.1
465,843.1,391.2
466,787.9,370.1
467,769.8,410.1
468,791.0,393.2
469,853.5,386.9
470,789.5,425.4
471,819.2,370.2
472,778.4,405.4
473,797.9,414.2
474,804.5,357.6
475,826.1,431.4
476,829.8,419.3
477,796.5,413.1
478,806.9,391.8
479,797.4,401.9
480,835.7,365.6
481,773.0,367.2
482,777.1,382.4
483,801.5,385.2
484,794.6,430.7
485,806.8,432.9
486,838.7,414.1
487,801.5,384.2
488,846.8,371.3
489,832.6,433.2
490,801.7,397.9
491,842.5,438.1
492,788.8,372.2
493,837.1,396.2
494,839.7,416.9
495,757.4,373.9
496,760.5,370.7
497,815.9,365.4
498,772.9,381.1
499,775.1,401.2
500,803.8,407.4
501,817.1,356.8
502,816.4,405.2
503,789.2,382.6
504,817.0,390.7
505,784.0,385.9
506,842.7,372.6
507,823.0,398.9
508,775.8,411.1
509,808.8,400.6
510,800.1,387.6
511,789.2,406.9
512,758.5,398.6
513,799.8,416.8
514,775.8,383.0
515,834.6,445.4
516,771.6,363.9
517,805.3,417.2
518,827.6,366.6
519,816.0,378.3
520,764.1,409.5
521,806.4,426.3
522,813.7,386.3
523,833.4,431.2
524,784.5,401.0
525,843.0,396.6
526,792.2,402.9
527,775.7,455.9
528,760.4,381.7
529,790.5,378.5
530,782.6,405.0
531,816.3,425.7
532,777.2,410.5
533,819.3,434.9
534,794.1,328.2
535,780.4,421.9
536,767.9,446.3
537,822.4,401.4
538,825.8,381.2
539,841.6,364.2
540,805.8,414.9
541,779.4,418.4
542,743.4,414.8
543,767.2,385.1
544,780.0,369.1
545,836.5,429.7
546,805.1,405.7
547,811.8,361.0
548,806.5,392.9
549,827.7,376.1
550,796.1,412.1
551,808.4,355.5
552,730.5,396.0
553,824.1,410.0
554,799.2,431.3
555,791.8,378.8
556,730.1,392.4
557,751.5,390.8
558,772.8,354.4
559,778.4,388.8
560,846.4,409.9
561,735.2,390.6
562,836.2,390.9
563,784.9,418.9
564,773.9,404.9
565,828.6,389.2
566,803.2,396.9
567,820.0,388.5
568,837.2,423.1
569,819.1,398.4
570,882.6,419.3
571,769.7,342.5
572,795.2,388.6
573,781.4,428.3
574,814.2,427.9
575,814.5,412.5
576,818.0,337.9
577,835.6,411.9
578,814.4,409.9
579,838.5,382.0
580,806.5,406.8
581,807.9,392.4
582,792.7,377.4
583,773.1,390.7
584,850.1,381.9
585,794.6,401.7
586,824.4,398.8
587,798.3,371.0
588,841.8,386.4
589,768.2,414.2
590,781.0,397.9
591,818.0,411.0
592,794.8,387.4
593,793.5,371.2
594,810.8,420.3
595,783.3,433.4
596,793.5,416.6
597,751.6,360.1
598,762.1,381.6
599,786.6,379.0
600,794.3,388.0
601,789.7,370.4
602,770.7,389.2
603,803.1,397.8
604,770.3,392.9
605,837.8,413.2
606,811.2,373.9
607,802.7,394.3
608,746.5,408.6
609,788.7,385.3
610,822.9,426.5
611,831.5,415.5
612,760.3,412.2
613,760.6,371.0
614,753.3,419.3
615,762.7,418.3
616,757.2,416.3
617,799.3,431.8
618,805.7,392.8
619,822.1,462.2
620,786.1,389.0
621,853.9,442.1
622,737.2,402.8
623,761.7,384.7
624,781.4,353.0
625,850.2,370.3
626,794.6,415.6
627,836.8,395.4
628,791.5,397.9
629,793.9,378.7
630,802.7,424.3
631,768.3,397.0
632,786.8,406.9
633,802.7,420.9
634,765.4,408.6
635,773.7,356.2
636,843.4,386.6
637,816.8,398.2
638,785.8,406.6
639,847.7,403.8
640,817.7,360.3
641,795.9,385.6
642,836.5,384.9
643,758.6,377.0
644,777.7,391.8
645,798.5,402.1
646,794.8,419.7
647,755.8,393.7
648,777.2,393.4
649,774.7,406.5
650,822.6,383.0
651,763.4,396.2
652,779.2,357.3
653,833.0,420.1
654,812.1,399.4
655,795.8,416.0
656,770.9,408.9
657,767.5,361.9
658,791.3,408.1
659,767.8,408.2
660,814.0,392.4
661,781.8,356.3
662,804.8,394.3
663,798.4,391.7
664,764.8,428.3
665,816.5,365.1
666,779.1,354.4
667,792.7,380.9
668,838.7,403.7
669,801.1,401.6
670,837.7,435.1
671,762.7,401.6
672,813.7,356.1
673,798.5,371.2
674,811.9,408.6
675,791.9,370.2
676,817.8,394.0
677,791.6,385.4
678,758.4,432.2
679,753.8,383.0
680,817.1,423.8
681,788.1,386.2
682,771.5,367.5
683,769.3,414.8
684,787.8,392.2
685,840.0,365.2
686,810.3,418.0
687,827.9,403.6
688,807.7,365.4
689,791.6,399.7
690,789.7,383.9
691,792.3,393.3
692,696.6,349.7
693,794.5,440.6
694,797.8,432.1
695,830.9,408.7
696,740.1,420.0
697,804.7,373.9
698,788.3,397.6
699,775.4,332.1
700,829.4,387.6
701,820.4,438.3
702,768.2,355.8
703,787.1,416.5
704,777.4,421.9
705,810.1,492.2
706,791.8,412.0
707,770.9,384.6
708,773.5,363.7
709,877.1,411.0
710,800.4,377.9
711,727.0,407.8
712,770.0,378.3
713,795.5,418.9
714,751.3,437.9
715,819.9,399.2
716,821.4,360.8
717,820.9,377.7
718,780.3,374.6
719,826.4,425.2
720,785.1,437.1
721,838.6,433.5
722,819.7,403.4
723,790.8,387.6
724,771.0,391.1
725,789.9,449.7
726,792.5,379.2
727,812.2,404.8
728,745.6,365.4
729,838.2,433.0
730,830.8,425.7
731,824.5,398.8
732,823.5,411.4
733,787.5,424.8
734,818.6,418.2
735,765.5,383.9
736,782.2,401.0
737,752.6,399.7
738,796.3,387.2
739,766.1,392.7
740,850.4,386.6
741,788.4,426.1
742,847.6,378.5
743,846.9,379.4
744,752.2,396.9
745,807.3,441.3
746,797.8,378.9
747,785.3,389.2
748,784.0,377.5
749,836.4,379.5
750,811.0,416.5
751,832.6,392.9
752,848.2,383.8
753,794.8,379.0
754,816.7,407.4
755,795.5,404.7
756,817.2,409.8
757,765.5,431.8
758,760.5,390.5
759,784.6,376.6
760,810.5,425.1
761,806.2,399.3
762,818.6,439.9
763,763.0,403.3
764,823.6,394.1
765,765.4,435.7
766,852.0,430.0
767,823.9,402.4
768,823.6,361.2
769,787.6,432.4
770,821.6,456.5
771,833.9,419.1
772,797.8,346.1
773,800.6,397.8
774,824.5,407.6
775,799.8,436.6
776,844.8,395.8
777,766.2,431.0
778,824.7,393.1
779,756.2,404.8
780,729.2,408.5
781,801.9,386.4
782,727.5,415.4
783,829.4,388.7
784,811.9,410.2
785,841.9,364.4
786,781.2,403.2
787,827.0,390.3
788,759.0,335.1
789,768.2,405.8
790,883.9,355.3
791,822.6,411.2
792,777.4,405.2
793,827.1,416.4
794,845.0,388.0
795,846.0,386.9
796,803.2,409.5
797,740.7,378.1
798,805.0,398.3
799,829.1,386.1
800,814.2,428.2
801,805.9,406.6
802,805.1,426.9
803,825.4,398.8
804,816.8,403.3
805,765.0,402.5
806,794.6,378.7
807,814.2,411.6
808,781.8,403.0
809,784.2,447.7
810,746.9,394.0
811,780.7,432.1
812,784.1,410.8
813,873.7,401.2
814,831.3,418.9
815,766.6,363.9
816,732.9,436.2
817,795.1,366.5
818,830.5,333.6
819,804.2,396.4
820,841.2,453.4
821,774.4,392.7
822,800.5,391.0
823,785.5,399.1
824,808.2,382.9
825,805.6,384.1
826,814.5,382.1
827,756.1,397.4
828,807.6,389.2
829,790.8,422.1
830,789.1,338.1
831,850.3,377.1
832,842.7,402.0
833,765.9,407.1
834,804.5,395.4
835,774.2,382.0
836,826.5,400.3
837,756.6,400.6
838,790.4,381.2
839,775.5,430.3
840,811.8,430.7
841,822.2,370.7
842,777.4,391.2
843,758.0,407.1
844,776.6,378.4
845,854.8,465.4
846,752.9,391.0
847,772.2,399.3
848,774.6,369.6
849,721.8,444.8
850,759.7,418.7
851,773.5,376.2
852,796.8,387.3
853,841.3,432.9
854,789.5,407.9
855,825.8,376.9
856,802.7,442.1
857,801.9,412.1
858,774.4,375.4
859,794.1,431.7
860,775.3,421.2
861,771.8,450.0
862,764.5,393.4
863,722.6,396.5
864,793.6,397.3
865,767.5,384.0
866,867.5,411.1
867,809.8,362.2
868,779.4,463.6
869,818.0,377.8
870,803.7,395.7
871,775.9,385.7
872,825.7,416.0
873,826.4,410.4
874,813.0,421.1
875,757.8,437.7
876,817.3,392.7
877,784.2,384.9
878,841.8,436.7
879,777.2,357.5
880,780.6,420.1
881,779.7,353.8
882,827.8,387.0
883,815.4,417.1
884,847.5,407.8
885,786.3,380.9
886,825.9,427.5
887,772.6,401.1
888,765.9,379.8
889,863.3,428.0
890,816.5,425.2
891,803.6,380.4
892,789.8,414.3
893,814.2,424.8
894,776.5,401.8
895,800.6,402.8
896,821.1,440.8
897,735.8,365.0
898,769.7,426.4
899,796.3,414.2
900,822.7,335.5
901,840.3,420.0
902,788.2,382.1
903,760.1,403.1
904,825.6,384.8
905,792.0,454.8
906,809.2,376.3
907,819.6,381.3
908,788.9,350.1
909,793.0,461.9
910,772.9,414.5
911,836.6,367.5
912,817.4,417.3
913,796.0,361.6
914,739.8,406.5
915,771.5,407.8
916,783.0,392.2
917,828.9,401.6
918,760.1,370.8
919,812.7,406.4
920,831.3,400.9
921,775.1,373.8
922,793.3,418.4
923,801.2,404.7
924,794.0,380.3
925,763.3,367.3
926,781.8,379.6
927,880.3,361.3
928,799.1,424.0
929,816.9,415.5
930,811.2,431.7
931,789.9,420.2
932,784.2,384.7
933,772.1,372.9
934,777.7,427.6
935,776.5,362.9
936,822.9,375.3
937,839.6,407.3
938,765.6,428.6
939,744.9,395.7
940,813.0,394.1
941,811.8,419.6
942,831.6,418.1
943,844.6,398.1
944,804.3,429.2
945,801.2,344.1
946,811.0,393.7
947,836.1,425.4
948,826.5,425.2
949,784.1,428.5
950,842.9,394.5
951,799.6,389.1
952,818.6,410.7
953,816.0,462.9
954,845.4,346.5
955,818.6,404.1
956,837.4,393.6
957,760.4,399.8
958,810.2,441.3
959,783.0,354.0
960,805.0,395.5
961,860.2,451.0
962,791.8,412.5
963,756.0,401.2
964,780.2,442.1
965,812.9,392.9
966,830.2,393.3
967,785.1,407.5
968,791.5,434.2
969,707.4,385.8
970,782.0,427.3
971,798.7,399.8
972,803.1,383.8
973,789.0,402.4
974,774.1,394.9
975,836.3,417.4
976,720.3,439.3
977,835.5,379.9
978,831.4,421.1
979,758.0,373.5
980,825.2,391.6
981,785.4,397.0
982,797.0,373.0
983,804.4,417.8
984,812.6,395.7
985,794.9,381.9
986,808.5,403.6
987,796.6,416.8
988,784.7,427.2
989,768.3,386.4
990,797.0,410.3
991,793.9,437.7
992,836.6,401.6
993,801.0,402.5
994,816.8,400.5
995,784.1,398.2
996,826.1,409.0
997,838.3,388.5
998,845.2,377.7
999,770.8,391.4
1000,786.8,457.4
1001,793.4,414.6
1002,810.3,392.3
1003,794.4,396.5
1004,800.9,405.1
1005,789.5,393.7
1006,772.8,422.5
1007,791.5,365.9
1008,816.8,413.1
1009,811.5,439.2
1010,769.7,392.0
1011,815.1,422.6
1012,823.7,411.5
1013,794.9,426.8
1014,808.3,403.4
1015,766.2,379.2
1016,801.0,363.5
1017,780.3,374.7
1018,868.4,393.9
1019,809.5,381.7
1020,862.7,400.1
1021,745.8,374.2
1022,793.7,407.4
1023,768.4,401.1
1024,811.7,370.2
1025,775.0,377.4
1026,776.8,370.6
1027,804.5,381.7
1028,795.0,455.1
1029,792.7,397.8
1030,798.7,409.6
1031,741.6,428.1
1032,798.8,377.1
1033,762.0,402.9
1034,768.2,473.9
1035,823.0,411.9
1036,769.2,411.9
1037,845.5,352.5
1038,788.0,372.5
1039,784.1,405.4
1040,826.9,381.7
1041,759.5,404.2
1042,827.8,422.6
1043,776.0,369.4
1044,786.0,375.2
1045,832.8,397.0
1046,786.4,390.1
1047,787.2,357.0
1048,782.4,385.3
1049,769.3,365.4
1050,829.2,410.8
1051,839.9,363.7
1052,835.0,427.4
1053,784.3,392.0
1054,757.5,376.4
1055,768.9,378.5
1056,765.0,374.9
1057,782.4,396.3
1058,788.6,406.7
1059,781.9,385.8
1060,829.8,435.9
1061,837.9,414.1
1062,786.6,401.6
1063,801.6,420.1
1064,791.3,419.2
1065,758.3,375.0
1066,762.3,386.3
1067,809.3,396.6
1068,786.4,378.4
1069,878.7,406.8
1070,806.3,428.7
1071,736.1,365.4
1072,748.4,411.3
1073,799.5,383.7
1074,838.5,421.3
1075,772.7,382.6
1076,786.1,398.1
1077,824.2,396.2
1078,784.8,390.3
1079,845.4,392.9
1080,762.1,447.4
1081,797.2,437.1
1082,776.9,413.4
1083,792.9,380.5
1084,776.3,366.4
1085,823.0,371.2
1086,791.9,387.1
1087,820.0,406.9
1088,833.1,359.3
1089,800.9,343.2
1090,833.0,437.4
1091,802.5,390.6
1092,829.5,431.7
1093,749.2,401.1
1094,765.1,444.8
1095,816.3,398.3
1096,737.6,402.8
1097,808.4,424.4
1098,781.1,429.0
1099,849.6,394.6
1100,789.4,386.9
1101,776.3,417.9
1102,762.0,369.4
1103,809.5,434.2
1104,799.1,385.6
1105,804.7,415.2
1106,793.2,406.8
1107,790.1,418.7
1108,811.3,390.5
1109,768.2,385.0
1110,775.0,395.2
1111,802.2,379.9
1112,753.4,420.4
1113,847.5,363.6
1114,781.5,376.7
1115,787.7,438.1
1116,763.8,400.8
1117,824.6,384.8
1118,801.2,401.1
1119,795.8,430.3
1120,850.3,433.0
1121,769.7,410.8
1122,784.7,381.5
1123,833.8,443.6
1124,748.3,440.1
1125,819.3,357.9
1126,804.0,394.1
1127,792.1,390.6
1128,844.6,431.7
1129,757.8,407.1
1130,822.3,442.8
1131,851.3,353.5
1132,849.4,429.0
1133,842.9,416.0
1134,743.3,433.1
1135,791.5,385.3
1136,836.6,407.2
1137,802.5,393.9
1138,794.6,403.5
1139,764.5,427.9
1140,792.3,399.3
1141,777.0,447.5
1142,871.2,408.6
1143,760.3,388.4
1144,753.9,434.8
1145,793.6,386.6
1146,846.8,404.8
1147,792.5,410.4
1148,778.0,349.7
1149,824.4,400.5
1150,824.0,400.2
1151,726.5,428.3
1152,765.0,413.5
1153,809.2,426.1
1154,680.1,395.3
1155,821.6,380.4
1156,836.1,391.3
1157,801.9,469.1
1158,779.2,425.7
1159,787.4,418.8
1160,803.2,380.9
1161,809.9,386.1
1162,774.6,439.3
1163,785.3,398.1
1164,797.6,353.1
1165,814.5,388.1
1166,765.3,413.7
1167,839.2,385.2
1168,784.1,345.8
1169,798.7,408.7
1170,846.3,401.9
1171,795.0,395.2
1172,813.8,394.1
1173,757.6,430.2
1174,819.4,415.6
1175,778.8,408.2
1176,808.3,390.1
1177,768.3,396.6
1178,819.3,436.1
1179,777.3,422.3
1180,763.9,413.0
1181,811.3,396.4
1182,803.1,370.3
1183,758.1,400.5
1184,822.5,405.4
1185,867.9,385.9
1186,729.0,376.6
1187,761.8,363.5
1188,753.2,414.6
1189,822.3,450.4
1190,754.2,437.6
1191,813.6,413.5
1192,776.6,369.8
1193,771.6,412.5
1194,783.5,354.5
1195,752.3,390.1
1196,795.9,467.7
1197,825.4,421.2
1198,869.0,417.0
1199,874.5,409.7
1200,789.5,408.8
1201,808.6,367.6
1202,753.0,365.6
1203,783.0,412.1
1204,794.4,432.3
1205,815.1,394.1
1206,804.0,424.8
1207,791.1,358.1
1208,771.9,407.4
1209,787.9,390.3
1210,792.6,393.7
1211,781.6,388.9
1212,730.2,369.4
1213,736.6,383.3
1214,779.5,450.7
1215,823.3,389.3
1216,771.4,364.9
1217,832.5,400.9
1218,803.9,385.5
1219,787.4,418.0
1220,768.9,424.8
1221,764.0,385.6
1222,805.3,334.3
1223,823.3,413.8
1224,784.3,336.6
1225,827.7,371.8
1226,804.7,432.3
1227,792.6,434.4
1228,767.4,438.2
1229,776.3,419.9
1230,789.0,352.2
1231,794.9,383.7
1232,792.8,454.6
1233,816.8,407.6
1234,787.4,406.2
1235,799.3,376.4
1236,785.3,382.8
1237,776.0,406.4
1238,800.5,375.8
1239,805.1,431.6
1240,777.6,370.1
1241,819.0,408.6
1242,814.8,398.9
1243,819.2,458.5
1244,797.2,398.2
1245,782.4,369.4
1246,785.6,441.2
1247,792.4,404.5
1248,792.1,354.4
1249,808.3,417.1
1250,787.8,404.3
1251,836.4,427.6
1252,783.6,486.2
1253,811.0,360.0
1254,812.6,378.0
1255,766.5,405.1
1256,829.9,418.8
1257,877.3,370.6
1258,788.2,383.7
1259,777.3,429.0
1260,790.6,405.0
1261,800.6,398.7
1262,803.9,384.3
1263,767.9,399.9
1264,810.1,407.9
1265,822.1,385.6
1266,784.3,418.0
1267,802.9,398.4
1268,741.6,390.0
1269,807.5,420.9
1270,814.0,423.6
1271,751.6,438.6
1272,838.3,398.1
1273,772.0,348.3
1274,813.9,421.8
1275,764.3,403.5
1276,782.0,435.2
1277,793.1,383.5
1278,833.4,372.8
1279,787.8,365.2
1280,843.1,377.8
1281,774.1,392.1
1282,797.2,383.2
1283,749.2,447.0
1284,831.6,385.8
1285,809.2,409.0
1286,790.0,388.7
1287,798.1,415.9
1288,838.4,412.0
1289,794.7,393.3
1290,830.5,380.2
1291,809.6,419.3
1292,782.8,378.4
1293,820.2,404.4
1294,771.7,434.0
1295,774.4,432.1
1296,834.1,381.4
1297,832.6,393.2
1298,819.4,385.9
1299,802.7,401.3
1300,794.8,436.8
1301,819.9,350.4
1302,779.0,353.0
1303,785.1,415.6
1304,853.1,359.1
1305,829.5,441.0
1306,822.9,372.8
1307,783.2,396.1
1308,809.1,389.9
1309,819.2,371.3
1310,791.5,410.8
1311,827.8,387.9
1312,829.9,407.0
1313,880.5,438.5
1314,817.9,440.7
1315,846.8,370.4
1316,800.0,389.8
1317,804.6,413.4
1318,838.3,391.5
1319,788.8,351.6
1320,844.1,398.2
1321,841.3,453.8
